#{"t_start": 1779821085.2606428, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
285.0,3819,10244.646313
560.0,4699,10269.845993
345.0,3763,10290.188473
605.0,4235,10313.255553
625.0,4445,10345.760721
525.0,4401,10369.663699
600.0,6131,10403.15022
265.0,2715,10417.755054
705.0,5175,10445.976493
480.0,4303,10469.306091
635.0,4647,10494.772058
695.0,4527,10519.413309
210.0,2785,10534.552429
565.0,3743,10554.845861
150.0,2685,10569.432937
320.0,3843,10590.253554
515.0,3009,10606.660876
770.0,4829,10632.769786
285.0,3221,10650.347673
395.0,5102,10678.229465
460.0,3979,10700.021218
235.0,4214,10723.053785
770.0,4385,10746.992442
335.0,3181,10764.34461
525.0,3935,10785.79616
600.0,6471,10821.112272
880.0,7199,10860.646924
635.0,4011,10894.715692
535.0,3325,10912.752101
450.0,4865,10939.173573
550.0,2979,10955.374915
390.0,3921,10976.657915
565.0,4411,11000.783146
805.0,5259,11029.51635
385.0,4881,11056.354822
400.0,4400,11080.282047
1125.0,7855,11123.359637
200.0,4403,11147.45514
410.0,4641,11172.978096
575.0,6581,11208.934559
290.0,3457,11227.96602
420.0,4035,11250.061671
785.0,6213,11284.160957
155.0,1661,11293.032794
800.0,5663,11324.214303
390.0,3827,11345.083026
600.0,5767,11376.592452
350.0,3723,11396.881279
555.0,4803,11423.111873
690.0,5985,11468.285013
955.0,7949,11511.7111
365.0,3887,11533.058613
715.0,4367,11556.974978
600.0,6167,11590.950113
310.0,3979,11612.563193
350.0,4204,11635.652058
485.0,5372,11665.193698
590.0,5163,11693.525734
690.0,4061,11715.772845
600.0,6019,11748.799675
695.0,4257,11772.253854
515.0,4929,11799.315685
615.0,6051,11832.612978
720.0,8212,11877.875281
700.0,5553,11908.305476
805.0,5783,11940.000545
200.0,3311,11958.060213
390.0,5135,11986.28284
1210.0,7977,12041.134025
575.0,6995,12079.544839
400.0,5235,12108.330238
845.0,4588,12133.706889
440.0,4225,12156.969374
345.0,3207,12174.548393
630.0,5009,12202.048638
470.0,4469,12226.516418
410.0,4930,12253.878841
510.0,5685,12285.069107
320.0,3991,12307.039306
545.0,4111,12329.704606
600.0,6297,12364.376578
675.0,6211,12398.748957
260.0,2926,12414.903466
730.0,5577,12445.845689
645.0,4443,12470.169142
830.0,4917,12496.984162
680.0,5699,12528.398143
460.0,4281,12551.769978
655.0,4573,12589.138445
805.0,6175,12623.148201
1260.0,5855,12655.601032
705.0,5873,12687.986685
410.0,4817,12714.617338
845.0,5053,12742.544312
565.0,4627,12767.996181
320.0,3339,12786.265476
420.0,4635,12811.872358
290.0,3227,12829.515465
775.0,4176,12852.607754
360.0,3199,12870.271782
605.0,4589,12895.604769
615.0,4837,12922.285532
420.0,3985,12944.195625
525.0,4420,12968.638338
600.0,3884,12990.226392
595.0,4977,13017.659974
520.0,4751,13043.805481
385.0,3951,13065.600549
485.0,2988,13081.979422
285.0,3135,13099.279814
780.0,5911,13131.788106
470.0,4349,13169.29786
590.0,3790,13190.114439
315.0,3569,13209.729818
120.0,1603,13218.326525
485.0,3749,13238.917063
345.0,4053,13261.140611
365.0,4085,13283.687311
480.0,4079,13306.137436
195.0,2581,13320.226678
540.0,4981,13347.787568
695.0,4465,13372.537536
930.0,9103,13422.715232
450.0,4425,13446.543535
455.0,4421,13470.209911
610.0,5799,13501.154822
775.0,3947,13522.106292
420.0,4047,13543.7935
575.0,4967,13570.73411
635.0,4209,13593.645975
910.0,7053,13631.56463
390.0,4595,13656.282577
675.0,4045,13677.955865
405.0,4657,13703.261488
715.0,7293,13758.238246
